City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
230,khash,28.2211,61.2158,25.720000000000027,22,100,0.66,IR,1690237099
231,dalbandin,28.8947,64.4101,29.480000000000018,55,100,1.25,PK,1690237099
232,konarka,19.9,86.1167,26.220000000000027,82,32,5.83,IN,1690237101
233,kingston,17.997,-76.7936,33.47000000000003,61,20,9.26,JM,1690236853
234,saipan,15.1355,145.701,28.689999999999998,100,75,4.12,MP,1690236844
235,ha'il,27.5219,41.6907,30.010000000000048,15,0,1.03,SA,1690236826
236,manokwari,-0.8667,134.0833,25.99000000000001,77,61,1.38,ID,1690237101
237,yuanping,38.7153,112.7575,18.860000000000014,75,95,0.18,CN,1690237102
238,vadso,70.0744,29.7487,9.490000000000009,100,100,7.2,NO,1690237102
239,perth,-31.9333,115.8333,15.100000000000023,67,0,5.14,AU,1690236932
240,margaret river,-33.95,115.0667,16.939999999999998,80,50,7.93,AU,1690237102
241,camalu,30.85,-116.0667,26.52000000000004,56,5,3.99,MX,1690237102
242,kodiak,57.79,-152.4072,14.730000000000018,67,100,5.14,US,1690237103
243,baki,-7.6128,110.7839,21.180000000000007,86,70,1.32,ID,1690237103
244,masterton,-40.9597,175.6575,8.82000000000005,85,83,0.56,NZ,1690237103
245,talnakh,69.4865,88.3972,11.230000000000018,71,86,0.94,RU,1690237104
246,izyum,49.2088,37.2485,16.900000000000034,62,46,1.34,UA,1690237104
247,burao,9.5221,45.5336,24.629999999999995,47,100,9.72,SO,1690236936
248,haiku-pauwela,20.9219,-156.3051,30.010000000000048,63,20,11.83,US,1690237104
249,angaur state,6.906,134.13,27.960000000000036,82,100,5.93,PW,1690237104
250,utrik,11.2278,169.8474,28.27000000000004,79,94,6.64,MH,1690237104
251,lincoln,40.8,-96.667,34.94,51,0,5.14,US,1690236859
252,nagqu,31.5,92.0,4.270000000000039,93,100,1.84,CN,1690237105
253,saint-jean-de-monts,46.7833,-2.0667,16.730000000000018,84,21,10.49,FR,1690237105
254,earlimart,35.8841,-119.2723,36.31,16,0,4.63,US,1690237105
255,saint-philippe,-21.3585,55.7679,19.77000000000004,86,30,3.33,RE,1690237105
256,martapura,-3.4167,114.85,22.05000000000001,100,20,1.03,ID,1690237106
257,mossel bay,-34.1831,22.146,11.060000000000002,68,0,2.76,ZA,1690237106
258,lushun,38.8,121.2667,26.120000000000005,91,71,2.37,CN,1690237106
259,srivardhan,18.0333,73.0167,26.150000000000034,88,100,7.39,IN,1690237106
260,benjamin aceval,-24.9667,-57.5667,26.08000000000004,39,68,3.32,PY,1690237106
261,colonia,50.9333,6.95,16.129999999999995,85,75,2.06,DE,1690237107
262,taoudenni,22.6783,-3.9836,40.83000000000004,12,76,1.61,ML,1690237107
263,tuy hoa,13.0833,109.3,24.82000000000005,91,98,2.83,VN,1690237107
264,akrehamn,59.2667,5.1833,15.230000000000018,82,75,6.69,NO,1690237107
265,saint-pierre,-21.3393,55.4781,19.82000000000005,68,0,3.6,RE,1690237104
266,kolyvan',55.3053,82.7391,16.79000000000002,94,92,1.95,RU,1690237108
267,ad dilam,23.9915,47.1627,35.23000000000002,10,100,1.9,SA,1690237108
268,campamento,14.55,-86.65,29.700000000000045,43,70,3.56,HN,1690237109
269,imphal,24.8167,93.95,21.090000000000032,98,92,0.41,IN,1690237109
270,remire-montjoly,4.9167,-52.2667,25.02000000000004,94,20,0.0,GF,1690237109
271,kaset sombun,16.2805,101.9542,24.379999999999995,89,99,1.34,TH,1690237109
272,dryden,49.7833,-92.7503,26.160000000000025,36,0,3.09,CA,1690237109
273,kiunga,-6.1219,141.2906,21.5,97,100,0.81,PG,1690237110
274,ulladulla,-35.35,150.4667,9.080000000000041,70,1,1.71,AU,1690237110
275,homer,59.6425,-151.5483,18.360000000000014,68,0,7.2,US,1690237111
276,morant bay,17.8815,-76.4093,33.73000000000002,69,12,5.04,JM,1690237112
277,taghazout,30.5426,-9.7112,21.430000000000007,82,0,3.1,MA,1690237112
278,rio grande,-32.035,-52.0986,13.060000000000002,94,100,7.91,BR,1690237113
279,tadjourah,12.0,42.5,31.170000000000016,44,100,2.03,DJ,1690236975
280,korla,41.7597,86.1469,27.49000000000001,34,59,4.38,CN,1690237113
281,shizuishan,39.2333,106.7694,25.410000000000025,44,0,4.01,CN,1690237115
282,gorom-gorom,14.4439,-0.2361,31.700000000000045,46,52,1.68,BF,1690237115
283,san luis de la loma,17.2706,-100.8939,31.100000000000023,62,99,2.77,MX,1690237115
284,susuman,62.7833,148.1667,16.129999999999995,54,34,1.35,RU,1690237115
285,moranbah,-22.0016,148.0466,12.650000000000034,92,100,10.35,AU,1690237115
286,sinan,34.8262,126.1086,26.060000000000002,93,100,4.3,KR,1690237036
287,breyten,-26.3018,29.987,7.340000000000032,95,32,2.41,ZA,1690237115
288,st. john's,47.5649,-52.7093,25.660000000000025,78,40,7.2,CA,1690236817
289,nikolayevsk-on-amure,53.1406,140.73,22.54000000000002,62,93,1.75,RU,1690237116
290,filadelfia,39.9523,-75.1638,30.210000000000036,60,40,5.66,US,1690236852
291,olyokminsk,60.3736,120.4264,22.890000000000043,64,6,0.6,RU,1690237116
292,vallegrande,-18.4897,-64.1069,14.120000000000005,78,6,2.75,BO,1690237116
293,flying fish cove,-10.4217,105.6791,23.82000000000005,88,75,4.63,CX,1690237116
294,toliara,-23.35,43.6667,18.420000000000016,80,4,1.85,MG,1690237116
295,albu kamal,34.45,40.9186,34.44,23,0,9.25,SY,1690237117
296,lagoa,39.05,-27.9833,21.680000000000007,85,3,4.83,PT,1690237117
297,tamandare,-8.7597,-35.1047,23.310000000000002,84,6,3.58,BR,1690237117
298,barakani,-12.1356,44.4317,24.090000000000032,74,60,4.2,KM,1690237117
299,al lagowa,11.4,29.1333,27.390000000000043,59,60,2.08,SD,1690237117
300,tabou,4.423,-7.3528,25.140000000000043,85,95,3.92,CI,1690237117
301,marsh harbour,26.5412,-77.0636,30.230000000000018,66,1,3.26,BS,1690237118
302,khandyga,62.6667,135.6,20.52000000000004,75,27,2.98,RU,1690237118
303,grand falls-windsor,48.9332,-55.6649,27.5,62,36,4.96,CA,1690237118
304,belyy yar,53.6039,91.3903,15.939999999999998,94,0,1.0,RU,1690237118
305,georgetown,5.4112,100.3354,26.960000000000036,91,20,0.0,MY,1690237090
306,araguaina,-7.1911,-48.2072,27.640000000000043,32,24,1.83,BR,1690237084
307,santa ana,33.7456,-117.8678,40.83000000000004,56,20,5.14,US,1690237066
308,gamba,-2.65,10.0,21.470000000000027,92,93,0.95,GA,1690237119
309,benjamin constant,-4.3831,-70.0311,29.07000000000005,59,26,0.28,BR,1690237119
310,boyolangu,-8.1181,111.8935,20.57000000000005,94,68,0.13,ID,1690237119
311,kone,-21.0595,164.8658,20.260000000000048,66,98,2.93,NC,1690237119
312,riberalta,-10.9833,-66.1,32.110000000000014,43,24,4.12,BO,1690237119
313,januaria,-15.4833,-44.3667,24.110000000000014,51,98,1.48,BR,1690237119
314,derbent,42.0678,48.2899,23.870000000000005,79,99,4.75,RU,1690237120
315,argo,37.6333,22.7333,28.210000000000036,51,0,0.43,GR,1690237120
316,kigoma,-4.8769,29.6267,23.689999999999998,62,10,1.01,TZ,1690237120
317,kayangel,8.0823,134.7173,28.189999999999998,76,100,3.9,PW,1690237120
318,moab,38.5733,-109.5498,39.72000000000003,11,75,9.3,US,1690236962
319,recani,31.2846,-4.2688,37.06,11,56,4.5,MA,1690237120
320,bukoba,-1.3317,31.8122,22.600000000000023,61,74,1.68,TZ,1690237120
321,pacific grove,36.6177,-121.9166,30.210000000000036,76,0,4.12,US,1690237121
322,nakambala,-15.8324,27.7799,15.939999999999998,42,0,1.98,ZM,1690237121
323,daru,-9.0763,143.2092,24.230000000000018,73,100,2.39,PG,1690237121
324,nishinoomote,30.7333,131.0,27.700000000000045,84,76,4.86,JP,1690237121
325,boa vista,2.8197,-60.6733,29.99000000000001,66,40,2.06,BR,1690237121
326,prado,-17.3411,-39.2208,20.74000000000001,90,3,2.97,BR,1690237121
